name,group,physicians_number,s_birads_94662,s_birads_607376,s_birads_737037,m_birads_94662,m_birads_607376,m_birads_737037
Clinician 1,senior,1,2,5,2,4,5,2
Clinician 2,intern,2,3,5,4,2,5,4
Clinician 3,intern,3,0,0,4,3,5,4
Clinician 4,intern,4,4,4,4,4,4,4
Clinician 5,intern,5,4,3,3,4,4,3
Clinician 6,intern,6,3,5,4,2,5,3
Clinician 7,junior,7,0,5,4,4,5,4
Clinician 8,senior,8,4,5,4,3,5,4
Clinician 9,junior,9,2,5,4,2,5,4
Clinician 10,senior,10,4,3,4,4,5,4
Clinician 11,middle,11,3,2,3,4,5,4
Clinician 12,middle,12,3,5,4,3,5,4
Clinician 13,middle,13,0,5,4,0,5,2
Clinician 14,middle,14,2,3,4,2,5,4
Clinician 15,intern,15,2,5,3,2,5,4
Clinician 16,intern,16,2,2,4,4,5,2
Clinician 17,middle,17,3,0,4,0,5,4
Clinician 18,intern,18,0,3,4,3,5,2
Clinician 19,middle,19,4,2,4,2,5,2
Clinician 20,senior,20,0,0,0,3,5,4
Clinician 21,senior,21,2,5,4,2,5,4
Clinician 22,middle,22,0,2,2,2,5,5
Clinician 23,middle,23,3,2,3,2,5,3
Clinician 24,middle,24,2,5,4,2,5,2
Clinician 25,middle,25,0,4,4,2,5,4
Clinician 26,middle,26,0,5,0,3,5,3
Clinician 27,senior,27,3,2,4,2,5,3
Clinician 28,junior,28,5,1,2,5,5,5
Clinician 29,senior,29,2,3,2,2,5,4
Clinician 30,middle,30,3,3,4,3,5,4
Clinician 31,intern,31,3,5,4,4,5,3
